Red,Green,Blue
0.370,0.333,0.296
0.370,0.333,0.296
0.370,0.333,0.296
0.360,0.360,0.280
0.360,0.360,0.280
0.364,0.364,0.273
0.364,0.364,0.273
0.368,0.368,0.263
0.353,0.353,0.294
0.353,0.353,0.294
0.357,0.357,0.286
0.308,0.385,0.308
0.364,0.364,0.273
0.250,0.333,0.417
0.250,0.333,0.417
0.250,0.333,0.417
0.231,0.385,0.385
0.231,0.385,0.385
0.214,0.357,0.429
0.214,0.357,0.429
0.214,0.357,0.429
0.267,0.333,0.400
0.214,0.357,0.429
0.214,0.357,0.429
0.214,0.357,0.429
0.214,0.357,0.429
0.267,0.333,0.400
0.214,0.357,0.429
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.267,0.333,0.400
0.214,0.357,0.429
0.214,0.357,0.429
0.158,0.368,0.474
0.174,0.348,0.478
0.179,0.357,0.464
0.207,0.345,0.448
0.222,0.333,0.444
0.208,0.333,0.458
0.238,0.333,0.429
0.235,0.353,0.412
0.214,0.357,0.429
0.250,0.333,0.417
0.214,0.357,0.429
0.235,0.353,0.412
0.217,0.348,0.435
0.259,0.370,0.370
0.281,0.375,0.344
0.324,0.353,0.324
0.343,0.343,0.314
0.342,0.342,0.316
0.359,0.333,0.308
0.359,0.333,0.308
0.359,0.333,0.308
0.350,0.350,0.300
0.357,0.333,0.310
0.357,0.333,0.310
0.357,0.333,0.310
0.357,0.333,0.310
0.356,0.333,0.311
0.356,0.333,0.311
0.356,0.333,0.311
0.356,0.333,0.311
0.326,0.348,0.326
0.311,0.356,0.333
0.279,0.372,0.349
0.279,0.372,0.349
0.273,0.364,0.364
0.273,0.364,0.364
0.279,0.349,0.372
0.262,0.357,0.381
0.268,0.341,0.390
0.268,0.341,0.390
0.256,0.333,0.410
0.229,0.343,0.429
0.229,0.343,0.429
0.212,0.333,0.455
0.187,0.344,0.469
0.194,0.355,0.452
0.200,0.333,0.467
0.200,0.333,0.467
0.200,0.333,0.467
0.200,0.333,0.467
0.207,0.310,0.483
0.207,0.310,0.483
0.200,0.333,0.467
0.194,0.323,0.484
0.206,0.324,0.471
0.194,0.333,0.472
0.194,0.333,0.472
0.200,0.343,0.457
0.212,0.333,0.455
0.233,0.333,0.433
0.226,0.323,0.452
0.229,0.314,0.457
0.243,0.324,0.432
0.237,0.316,0.447
0.237,0.316,0.447
0.250,0.300,0.450
0.244,0.317,0.439
0.244,0.317,0.439
0.256,0.302,0.442
0.250,0.318,0.432
0.233,0.326,0.442
0.238,0.310,0.452
0.233,0.326,0.442
0.233,0.326,0.442
0.233,0.326,0.442
0.227,0.318,0.455
0.239,0.326,0.435
0.234,0.319,0.447
0.222,0.333,0.444
0.227,0.318,0.455
0.234,0.319,0.447
0.229,0.333,0.437
0.240,0.320,0.440
0.241,0.315,0.444
0.258,0.306,0.435
0.262,0.308,0.431
0.268,0.296,0.437
0.262,0.292,0.446
0.263,0.298,0.439
0.254,0.288,0.458
0.256,0.302,0.442
0.256,0.302,0.442
0.271,0.312,0.417
0.286,0.306,0.408
0.296,0.296,0.407
0.288,0.288,0.423
0.293,0.268,0.439
0.303,0.273,0.424
0.296,0.259,0.444
0.318,0.273,0.409
0.333,0.278,0.389
0.353,0.294,0.353
0.353,0.353,0.294
0.368,0.316,0.316
0.381,0.333,0.286
0.375,0.333,0.292
0.400,0.320,0.280
0.393,0.321,0.286
0.387,0.323,0.290
0.406,0.312,0.281
0.424,0.303,0.273
0.417,0.306,0.278
0.417,0.306,0.278
0.410,0.308,0.282
0.410,0.308,0.282
0.425,0.300,0.275
0.405,0.310,0.286
0.405,0.310,0.286
0.419,0.302,0.279
0.419,0.302,0.279
0.419,0.302,0.279
0.419,0.302,0.279
0.419,0.302,0.279
0.419,0.302,0.279
0.419,0.302,0.279
0.419,0.302,0.279
0.419,0.302,0.279
0.419,0.302,0.279
0.419,0.302,0.279
0.432,0.295,0.273
