Red,Green,Blue
0.576,0.233,0.192
0.574,0.238,0.189
0.570,0.242,0.187
0.571,0.245,0.184
0.573,0.250,0.177
0.574,0.259,0.167
0.581,0.259,0.160
0.576,0.256,0.168
0.566,0.262,0.171
0.561,0.269,0.170
0.561,0.268,0.171
0.568,0.263,0.169
0.572,0.261,0.167
0.579,0.258,0.163
0.578,0.259,0.163
0.563,0.269,0.168
0.566,0.273,0.162
0.559,0.271,0.169
0.558,0.269,0.173
0.556,0.267,0.178
0.535,0.279,0.186
0.532,0.277,0.191
0.514,0.286,0.200
0.500,0.281,0.219
0.515,0.273,0.212
0.485,0.273,0.242
0.469,0.281,0.250
0.469,0.281,0.250
0.441,0.294,0.265
0.457,0.286,0.257
0.432,0.297,0.270
0.432,0.297,0.270
0.436,0.308,0.256
0.425,0.300,0.275
0.425,0.300,0.275
0.429,0.310,0.262
0.419,0.302,0.279
0.419,0.302,0.279
0.419,0.302,0.279
0.419,0.302,0.279
0.432,0.295,0.273
0.422,0.311,0.267
0.422,0.311,0.267
0.426,0.298,0.277
0.417,0.312,0.271
0.429,0.306,0.265
0.420,0.300,0.280
0.420,0.300,0.280
0.420,0.300,0.280
0.420,0.300,0.280
0.420,0.300,0.280
0.420,0.300,0.280
0.420,0.300,0.280
0.420,0.300,0.280
0.429,0.306,0.265
0.426,0.298,0.277
0.435,0.304,0.261
0.432,0.295,0.273
0.439,0.293,0.268
0.436,0.308,0.256
0.432,0.297,0.270
0.441,0.294,0.265
0.424,0.303,0.273
0.452,0.290,0.258
0.452,0.290,0.258
0.452,0.290,0.258
0.467,0.267,0.267
0.484,0.258,0.258
0.485,0.273,0.242
0.500,0.267,0.233
0.516,0.258,0.226
0.545,0.242,0.212
0.553,0.237,0.211
0.558,0.233,0.209
0.553,0.255,0.191
0.564,0.236,0.200
0.574,0.246,0.180
0.574,0.250,0.176
0.566,0.253,0.181
0.578,0.245,0.176
0.578,0.250,0.172
0.576,0.245,0.180
0.580,0.237,0.183
0.580,0.232,0.188
0.586,0.224,0.190
0.581,0.217,0.202
0.578,0.215,0.207
0.577,0.216,0.206
0.574,0.222,0.204
0.575,0.223,0.202
0.584,0.224,0.192
0.597,0.220,0.183
0.609,0.218,0.172
0.603,0.222,0.175
0.600,0.222,0.178
0.597,0.224,0.179
0.595,0.224,0.181
0.590,0.226,0.185
0.582,0.228,0.190
0.578,0.229,0.192
0.580,0.230,0.190
0.578,0.230,0.192
0.580,0.228,0.192
0.578,0.228,0.194
0.578,0.229,0.193
0.578,0.230,0.192
0.569,0.237,0.194
0.568,0.237,0.195
0.569,0.241,0.190
0.569,0.242,0.189
0.569,0.244,0.187
0.564,0.249,0.188
0.563,0.254,0.183
0.560,0.264,0.176
0.552,0.269,0.179
0.542,0.271,0.187
0.500,0.289,0.211
0.484,0.290,0.226
0.444,0.296,0.259
0.440,0.320,0.240
0.440,0.320,0.240
0.440,0.320,0.240
0.440,0.320,0.240
0.444,0.296,0.259
0.444,0.296,0.259
0.452,0.290,0.258
0.441,0.294,0.265
0.432,0.297,0.270
0.447,0.289,0.263
0.447,0.289,0.263
0.450,0.300,0.250
0.439,0.293,0.268
0.439,0.293,0.268
0.439,0.293,0.268
0.436,0.308,0.256
0.447,0.289,0.263
0.432,0.297,0.270
0.457,0.286,0.257
0.441,0.294,0.265
0.437,0.312,0.250
0.452,0.290,0.258
0.448,0.310,0.241
0.444,0.296,0.259
0.444,0.296,0.259
0.444,0.296,0.259
0.444,0.296,0.259
0.464,0.286,0.250
0.481,0.296,0.222
0.500,0.286,0.214
0.500,0.267,0.233
0.517,0.276,0.207
0.500,0.267,0.233
0.514,0.257,0.229
0.537,0.244,0.220
0.528,0.250,0.222
0.565,0.239,0.196
0.590,0.230,0.180
0.592,0.225,0.183
0.603,0.219,0.178
0.594,0.217,0.188
0.598,0.220,0.183
0.592,0.223,0.184
0.593,0.221,0.186
0.594,0.217,0.189
0.597,0.217,0.186
0.599,0.217,0.185
0.598,0.219,0.183
0.604,0.217,0.179
0.603,0.217,0.181
0.603,0.217,0.180
0.604,0.220,0.176
0.609,0.220,0.171
0.599,0.228,0.173
0.588,0.236,0.176
0.588,0.234,0.178
0.592,0.228,0.181
0.598,0.224,0.178
0.600,0.224,0.177
0.601,0.224,0.174
0.602,0.224,0.174
0.601,0.222,0.178
0.596,0.223,0.180
0.595,0.224,0.181
0.592,0.225,0.184
0.590,0.222,0.188
0.587,0.222,0.191
0.584,0.225,0.191
0.580,0.230,0.191
0.568,0.239,0.193
0.567,0.244,0.189
0.566,0.246,0.189
0.567,0.243,0.190
0.567,0.240,0.193
0.566,0.240,0.194
0.564,0.247,0.189
0.556,0.258,0.185
0.544,0.275,0.181
0.509,0.310,0.181
0.500,0.310,0.190
0.500,0.304,0.196
0.494,0.299,0.207
0.500,0.295,0.205
0.500,0.289,0.211
0.482,0.282,0.235
0.470,0.289,0.241
0.477,0.279,0.244
0.471,0.276,0.253
0.453,0.279,0.267
0.443,0.284,0.273
0.438,0.281,0.281
0.433,0.278,0.289
0.432,0.273,0.295
0.430,0.267,0.302
0.427,0.270,0.303
0.427,0.271,0.302
0.421,0.274,0.305
0.427,0.271,0.302
0.427,0.271,0.302
0.415,0.277,0.309
0.412,0.278,0.309
0.422,0.275,0.304
0.429,0.267,0.305
0.425,0.274,0.302
0.415,0.274,0.311
0.410,0.276,0.314
0.423,0.270,0.306
0.437,0.261,0.303
0.464,0.256,0.280
0.447,0.263,0.289
0.431,0.266,0.303
0.431,0.267,0.302
0.435,0.266,0.298
0.423,0.268,0.309
0.413,0.270,0.317
0.409,0.273,0.318
0.403,0.273,0.324
0.401,0.275,0.324
0.400,0.283,0.317
0.389,0.285,0.326
0.393,0.280,0.327
0.397,0.282,0.321
0.401,0.280,0.318
0.389,0.282,0.329
0.390,0.279,0.331
0.398,0.277,0.325
0.401,0.279,0.320
0.392,0.283,0.325
0.373,0.291,0.335
0.382,0.285,0.333
0.390,0.285,0.326
0.394,0.282,0.324
0.395,0.281,0.323
0.387,0.282,0.331
0.390,0.280,0.329
0.394,0.279,0.327
0.393,0.282,0.325
0.390,0.283,0.327
0.391,0.282,0.327
0.386,0.288,0.327
0.386,0.288,0.327
0.388,0.289,0.322
0.388,0.289,0.322
0.388,0.289,0.322
0.389,0.289,0.322
0.385,0.291,0.324
0.382,0.292,0.326
0.383,0.291,0.326
0.385,0.287,0.329
0.390,0.288,0.322
0.390,0.288,0.322
0.395,0.286,0.320
0.404,0.282,0.314
0.397,0.285,0.318
0.383,0.291,0.326
0.385,0.287,0.329
0.388,0.286,0.327
0.396,0.286,0.318
0.386,0.288,0.327
0.382,0.289,0.329
0.385,0.288,0.327
0.387,0.288,0.325
0.381,0.292,0.327
0.381,0.292,0.327
0.379,0.296,0.325
0.385,0.293,0.322
0.387,0.293,0.320
0.384,0.297,0.319
0.380,0.299,0.321
0.382,0.296,0.323
0.379,0.300,0.321
0.388,0.296,0.316
0.395,0.295,0.310
0.402,0.294,0.304
0.389,0.299,0.313
0.383,0.296,0.320
0.381,0.295,0.324
0.386,0.295,0.318
0.390,0.294,0.316
0.385,0.296,0.319
0.382,0.298,0.320
0.384,0.300,0.316
0.389,0.304,0.308
0.390,0.309,0.301
0.385,0.316,0.299
0.384,0.316,0.300
0.384,0.317,0.299
0.391,0.317,0.292
0.390,0.316,0.294
0.380,0.318,0.302
0.383,0.315,0.302
0.381,0.313,0.306
0.392,0.304,0.304
0.437,0.291,0.272
0.469,0.283,0.249
0.463,0.281,0.256
0.466,0.279,0.254
0.480,0.278,0.242
0.481,0.279,0.240
0.474,0.280,0.247
0.463,0.281,0.256
0.471,0.278,0.251
0.487,0.277,0.236
0.497,0.270,0.233
0.498,0.263,0.239
0.495,0.254,0.251
0.495,0.242,0.263
0.491,0.238,0.271
0.485,0.240,0.275
0.490,0.237,0.273
0.489,0.241,0.270
0.494,0.245,0.261
0.489,0.247,0.265
0.442,0.255,0.303
0.432,0.258,0.310
0.439,0.258,0.303
0.435,0.260,0.305
0.437,0.258,0.305
0.436,0.256,0.308
0.437,0.245,0.318
0.412,0.250,0.338
0.393,0.256,0.350
0.385,0.257,0.358
0.389,0.259,0.352
0.389,0.259,0.352
0.388,0.262,0.350
0.385,0.260,0.354
0.382,0.270,0.348
0.384,0.267,0.349
0.388,0.271,0.341
0.385,0.269,0.346
0.377,0.273,0.351
0.390,0.273,0.338
0.395,0.276,0.329
0.387,0.280,0.333
0.392,0.270,0.338
0.392,0.284,0.324
0.397,0.274,0.329
0.389,0.278,0.333
0.387,0.280,0.333
0.395,0.276,0.329
0.400,0.275,0.325
0.400,0.282,0.318
0.400,0.278,0.322
0.404,0.277,0.319
0.400,0.274,0.326
0.390,0.280,0.330
0.388,0.282,0.330
0.385,0.284,0.330
0.377,0.289,0.333
0.375,0.292,0.333
0.376,0.296,0.328
0.379,0.295,0.326
0.376,0.298,0.326
0.378,0.297,0.324
0.382,0.296,0.322
0.380,0.297,0.323
0.380,0.294,0.325
0.389,0.287,0.323
