aX,aY,aZ,gX,gY,gZ
0.430,-0.324,-0.767,-24.536,53.223,32.898
0.735,-0.473,-0.952,9.155,62.866,25.940
0.687,-0.215,-1.235,-33.081,72.815,26.733
-0.525,0.232,-2.072,-4.395,7.996,14.465
-0.512,0.257,-2.081,-13.977,0.610,16.968
-0.451,0.269,-2.056,-26.978,-5.920,20.630
-0.365,0.288,-1.978,-43.396,-12.756,23.865
-0.309,0.300,-1.857,-58.472,-19.348,23.621
-0.304,0.295,-1.740,-68.665,-24.841,19.043
-0.311,0.272,-1.639,-74.524,-31.982,12.268
-0.292,0.242,-1.535,-77.148,-39.917,8.606
-0.279,0.228,-1.463,-78.369,-45.837,9.521
-0.264,0.232,-1.398,-79.712,-47.852,11.719
-0.226,0.224,-1.333,-80.322,-44.739,13.611
-0.172,0.209,-1.287,-81.726,-37.903,16.113
-0.130,0.194,-1.261,-84.778,-28.442,19.287
-0.100,0.186,-1.232,-87.708,-19.287,20.874
-0.080,0.190,-1.214,-89.844,-12.695,21.423
-0.071,0.201,-1.203,-92.346,-9.583,22.217
-0.079,0.196,-1.183,-94.238,-12.146,22.888
-0.079,0.166,-1.132,-93.994,-21.118,22.156
-0.053,0.128,-1.070,-94.971,-34.485,21.484
-0.037,0.087,-1.001,-96.680,-47.791,21.484
-0.012,0.078,-0.928,-96.863,-57.617,20.691
0.026,0.066,-0.872,-98.511,-63.660,21.667
0.057,0.063,-0.815,-95.886,-68.909,21.667
0.082,0.132,-0.671,-87.341,-76.050,25.391
0.072,-0.051,-0.796,-78.491,-97.107,40.955
0.021,-0.114,-0.763,-71.594,-102.783,43.640
-0.011,-0.160,-0.785,-58.472,-107.056,54.016
-0.005,-0.130,-0.811,-61.401,-116.150,68.176
0.026,-0.007,-0.681,-48.218,-120.117,73.669
0.014,-0.124,-0.556,-30.151,-126.892,93.628
0.142,-0.107,-0.490,-42.786,-118.652,93.811
0.246,-0.110,-0.468,-46.631,-106.750,83.496
0.232,-0.133,-0.258,-20.142,-99.670,69.763
0.321,-0.035,-0.319,2.930,-93.994,54.626
0.303,-0.048,-0.068,69.946,-100.098,34.058
0.159,-0.483,-0.156,100.952,-103.027,32.104
0.229,-0.182,0.089,69.641,-91.614,26.001
0.204,-0.598,-0.205,97.168,-74.829,-2.014
0.230,-0.500,-0.034,48.828,-58.350,-6.226
0.222,-0.502,-0.081,3.174,-35.217,-4.578
0.221,-0.515,-0.085,-7.446,-17.029,-2.502
0.239,-0.490,-0.082,-15.076,-1.709,4.333
0.251,-0.476,-0.109,-8.972,11.047,9.155
0.253,-0.501,-0.179,2.441,18.921,11.047
0.265,-0.492,-0.219,10.620,22.949,10.193
0.270,-0.486,-0.254,18.311,25.452,8.972
0.265,-0.522,-0.304,24.414,25.452,6.287
0.277,-0.519,-0.321,19.348,24.536,4.028
0.255,-0.509,-0.336,14.526,26.367,1.709
0.235,-0.510,-0.363,9.827,31.250,-1.038
0.219,-0.506,-0.365,6.592,40.039,-3.540
0.212,-0.504,-0.383,4.578,51.270,-2.686
0.198,-0.485,-0.407,3.784,61.157,0.732
0.190,-0.466,-0.415,2.930,67.078,3.235
0.188,-0.467,-0.415,2.014,69.580,2.930
0.180,-0.461,-0.406,1.831,68.054,-0.183
0.166,-0.458,-0.388,2.747,62.988,-4.639
0.161,-0.443,-0.379,3.967,55.969,-7.874
0.142,-0.422,-0.372,6.470,49.805,-8.667
0.119,-0.385,-0.368,12.085,46.143,-7.751
0.119,-0.374,-0.359,20.264,44.189,-6.714
0.127,-0.378,-0.355,29.785,44.067,-5.798
0.119,-0.381,-0.350,35.400,45.776,-5.554
0.116,-0.378,-0.312,37.720,47.180,-6.409
0.109,-0.361,-0.271,38.330,48.523,-7.629
0.094,-0.348,-0.209,39.673,49.744,-8.850
0.093,-0.309,-0.148,42.603,50.537,-11.108
0.080,-0.244,-0.028,42.969,49.683,-13.367
0.059,-0.167,0.045,46.753,46.082,-18.494
0.027,-0.119,0.105,52.368,40.527,-27.039
-0.036,-0.089,0.147,60.730,36.377,-33.142
-0.091,-0.097,0.127,69.458,35.339,-34.485
-0.108,-0.066,0.100,78.125,41.504,-35.217
-0.045,-0.058,0.067,87.891,52.002,-26.794
0.034,-0.010,0.027,92.957,53.955,-12.268
0.090,0.065,0.026,94.604,52.551,-9.888
0.114,0.204,0.026,92.651,46.875,-20.020
0.078,0.342,0.021,88.623,35.645,-39.001
-0.002,0.433,0.021,90.454,21.790,-60.059
-0.015,0.490,-0.013,95.703,9.399,-77.332
-0.064,0.441,-0.092,103.577,-0.305,-85.876
-0.102,0.365,-0.149,115.479,0.244,-86.487
-0.085,0.394,-0.225,123.596,15.747,-78.857
-0.111,0.465,-0.397,127.380,38.879,-64.697
-0.189,0.534,-0.575,128.662,59.082,-52.246
-0.214,0.596,-0.728,127.686,71.045,-45.227
-0.180,0.654,-0.881,123.047,68.115,-42.053
-0.161,0.721,-0.966,113.831,49.561,-46.997
-0.169,0.775,-0.990,101.746,23.010,-59.082
-0.201,0.809,-0.968,92.529,-0.671,-70.007
-0.175,0.773,-0.956,95.398,-10.010,-70.068
-0.110,0.713,-0.975,106.873,-3.296,-59.082
-0.094,0.688,-1.043,119.995,13.123,-45.288
-0.113,0.719,-1.132,131.042,27.893,-34.424
-0.108,0.784,-1.224,137.146,31.372,-26.672
-0.118,0.842,-1.327,139.099,20.752,-21.545
-0.161,0.820,-1.385,138.611,1.282,-22.156
-0.172,0.766,-1.396,136.780,-17.639,-26.367
-0.178,0.756,-1.381,135.315,-28.564,-25.330
-0.174,0.786,-1.334,132.080,-28.625,-15.625
-0.151,0.799,-1.286,130.188,-18.433,-1.648
-0.132,0.784,-1.245,131.409,-3.235,11.658
-0.139,0.795,-1.226,135.620,10.986,20.691
-0.170,0.850,-1.218,141.296,19.043,25.635
-0.205,0.926,-1.210,144.775,15.686,29.663
-0.239,0.995,-1.205,146.484,5.676,32.593
-0.236,1.015,-1.241,151.123,-0.671,33.752
-0.208,1.038,-1.312,156.433,3.662,37.048
-0.120,1.153,-1.427,151.917,17.761,45.410
-0.064,1.246,-1.567,137.878,39.307,54.688
-0.031,1.279,-1.688,124.390,61.096,57.617
0.025,1.262,-1.754,114.075,72.937,52.551
0.065,1.272,-1.787,105.713,63.599,42.969
0.071,1.293,-1.781,102.051,35.217,30.884
0.072,1.316,-1.761,99.792,2.808,17.883
0.080,1.295,-1.755,95.337,-14.160,7.751
0.052,1.231,-1.767,89.233,-7.446,3.174
0.026,1.192,-1.792,78.186,17.029,5.127
0.005,1.174,-1.812,63.538,45.349,10.193
-0.090,1.216,-1.800,41.687,63.599,11.292
-0.130,1.213,-1.766,35.156,46.753,3.601
-0.181,1.169,-1.724,29.907,20.630,-5.554
-0.227,1.098,-1.694,25.513,-0.244,-13.367
-0.250,1.041,-1.659,19.043,-8.423,-16.357
-0.251,1.030,-1.611,9.888,-6.104,-12.573
-0.245,1.027,-1.559,0.610,2.014,-6.531
-0.250,1.018,-1.508,-5.615,8.667,-3.357
-0.215,1.004,-1.463,-11.963,13.184,-2.197
-0.205,0.999,-1.421,-18.616,13.123,-3.601
-0.207,0.996,-1.382,-20.691,17.090,-2.747
-0.222,0.975,-1.369,-17.944,13.733,-2.441
-0.269,0.941,-1.388,-18.799,10.132,-2.014
-0.288,0.932,-1.412,-25.452,10.559,-1.526
-0.293,0.949,-1.408,-35.461,8.850,-1.526
-0.315,0.968,-1.395,-45.044,5.249,-2.441
-0.333,0.965,-1.385,-51.270,0.427,-3.967
